raceId,season,round,raceName,date,circuitId,circuitName,country,lat,lng
1996_5,1996,5,San Marino Grand Prix,1996-05-05,imola,Autodromo Enzo e Dino Ferrari,Italy,44.3439,11.7167
1996_6,1996,6,Monaco Grand Prix,1996-05-19,monaco,Circuit de Monaco,Monaco,43.7347,7.42056
1996_7,1996,7,Spanish Grand Prix,1996-06-02,catalunya,Circuit de Barcelona-Catalunya,Spain,41.57,2.26111
1996_8,1996,8,Canadian Grand Prix,1996-06-16,villeneuve,Circuit Gilles Villeneuve,Canada,45.5,-73.5228
1996_9,1996,9,French Grand Prix,1996-06-30,magny_cours,Circuit de Nevers Magny-Cours,France,46.8642,3.16361
1996_10,1996,10,British Grand Prix,1996-07-14,silverstone,Silverstone Circuit,UK,52.0786,-1.01694
1996_11,1996,11,German Grand Prix,1996-07-28,hockenheimring,Hockenheimring,Germany,49.3278,8.56583
1996_12,1996,12,Hungarian Grand Prix,1996-08-11,hungaroring,Hungaroring,Hungary,47.5789,19.2486
1996_13,1996,13,Belgian Grand Prix,1996-08-25,spa,Circuit de Spa-Francorchamps,Belgium,50.4372,5.97139
1996_14,1996,14,Italian Grand Prix,1996-09-08,monza,Autodromo Nazionale di Monza,Italy,45.6156,9.28111
1996_15,1996,15,Portuguese Grand Prix,1996-09-22,estoril,Autódromo do Estoril,Portugal,38.7506,-9.39417
1996_16,1996,16,Japanese Grand Prix,1996-10-13,suzuka,Suzuka Circuit,Japan,34.8431,136.541
1997_1,1997,1,Australian Grand Prix,1997-03-09,albert_park,Albert Park Grand Prix Circuit,Australia,-37.8497,144.968
1997_2,1997,2,Brazilian Grand Prix,1997-03-30,interlagos,Autódromo José Carlos Pace,Brazil,-23.7036,-46.6997
1997_3,1997,3,Argentine Grand Prix,1997-04-13,galvez,Autódromo Juan y Oscar Gálvez,Argentina,-34.6943,-58.4593
1997_4,1997,4,San Marino Grand Prix,1997-04-27,imola,Autodromo Enzo e Dino Ferrari,Italy,44.3439,11.7167
1997_5,1997,5,Monaco Grand Prix,1997-05-11,monaco,Circuit de Monaco,Monaco,43.7347,7.42056
1997_6,1997,6,Spanish Grand Prix,1997-05-25,catalunya,Circuit de Barcelona-Catalunya,Spain,41.57,2.26111
1997_7,1997,7,Canadian Grand Prix,1997-06-15,villeneuve,Circuit Gilles Villeneuve,Canada,45.5,-73.5228
1997_8,1997,8,French Grand Prix,1997-06-29,magny_cours,Circuit de Nevers Magny-Cours,France,46.8642,3.16361
1997_9,1997,9,British Grand Prix,1997-07-13,silverstone,Silverstone Circuit,UK,52.0786,-1.01694
1997_10,1997,10,German Grand Prix,1997-07-27,hockenheimring,Hockenheimring,Germany,49.3278,8.56583
1997_11,1997,11,Hungarian Grand Prix,1997-08-10,hungaroring,Hungaroring,Hungary,47.5789,19.2486
1997_12,1997,12,Belgian Grand Prix,1997-08-24,spa,Circuit de Spa-Francorchamps,Belgium,50.4372,5.97139
1997_13,1997,13,Italian Grand Prix,1997-09-07,monza,Autodromo Nazionale di Monza,Italy,45.6156,9.28111
1997_14,1997,14,Austrian Grand Prix,1997-09-21,red_bull_ring,Red Bull Ring,Austria,47.2197,14.7647
1997_15,1997,15,Luxembourg Grand Prix,1997-09-28,nurburgring,Nürburgring,Germany,50.3356,6.9475
1997_16,1997,16,Japanese Grand Prix,1997-10-12,suzuka,Suzuka Circuit,Japan,34.8431,136.541
1997_17,1997,17,European Grand Prix,1997-10-26,jerez,Circuito de Jerez,Spain,36.7083,-6.03417
1998_1,1998,1,Australian Grand Prix,1998-03-08,albert_park,Albert Park Grand Prix Circuit,Australia,-37.8497,144.968
